CMake File,Target,Dependencies
.\vcpkg\ports\cppcoro\CMakeLists.txt,cppcoro,"c++, pthread, kernel32, synchronization, ws2_32, mswsock, #, msvcrt[d], msvcprt[d], vcruntime, ucrt, c++, #, stdc++, #, expect, libc++, instead, of, libstdc++"
.\vcpkg\ports\cppcoro\CMakeLists.txt,cppcoro_test,"cppcoro, Threads::Threads, doctest::doctest"
.\vcpkg\ports\cppunit\CMakeLists.txt,cppunit,
.\vcpkg\ports\cppunit\CMakeLists.txt,cppunit,
.\vcpkg\ports\cppunit\CMakeLists.txt,DllPlugInTester,cppunit
.\vcpkg\ports\crfsuite\CMakeLists.txt,cqdb,
.\vcpkg\ports\crfsuite\CMakeLists.txt,crf,"cqdb, ${LBFGS_LIBRARY}"
.\vcpkg\ports\crfsuite\CMakeLists.txt,crfsuite,crf
.\vcpkg\ports\crfsuite\CMakeLists.txt,frontend,crf
.\vcpkg\ports\cspice\CMakeLists.txt,cspice,
.\vcpkg\ports\ctemplate\CMakeLists.txt,libctemplate,
.\vcpkg\ports\cunit\CMakeLists.txt,cunit,
.\vcpkg\ports\darts-clone\CMakeLists.txt,darts,
.\vcpkg\ports\devicenameresolver\CMakeLists.txt,DeviceNameResolver,
.\vcpkg\ports\discord-game-sdk\CMakeLists.txt,discord_game_sdk_cpp,${SDK_LIB}
.\vcpkg\ports\distorm\CMakeLists.txt,distorm,
.\vcpkg\ports\duktape\CMakeLists.txt,duktape,
.\vcpkg\ports\easyexif\CMakeLists.txt,easyexif,
.\vcpkg\ports\ecos\CMakeLists.txt,ecos-suitesparse,
.\vcpkg\ports\ecos\CMakeLists.txt,ecos-amd,ecos-suitesparse
.\vcpkg\ports\ecos\CMakeLists.txt,ecos-ldl,ecos-suitesparse
.\vcpkg\ports\ecos\CMakeLists.txt,ecos,"ecos-amd, ecos-ldl"
.\vcpkg\ports\ed25519\CMakeLists.txt,"""${PROJECT_NAME}""",
.\vcpkg\ports\edflib\CMakeLists.txt,EDFlib,
.\vcpkg\ports\edflib\CMakeLists.txt,sine_generator,"EDFlib, m"
.\vcpkg\ports\edflib\CMakeLists.txt,sweep_generator,"EDFlib, m"
.\vcpkg\ports\fastfeat\CMakeLists.txt,fastfeat,
.\vcpkg\ports\fastlz\CMakeLists.txt,fastlz,
.\vcpkg\ports\fdlibm\CMakeLists.txt,fdlibm,
.\vcpkg\ports\ffmpeg-bin2c\CMakeLists.txt,bin2c,
.\vcpkg\ports\freeimage\CMakeLists.txt,FreeImage,"${ZLIB_LIBRARIES}, ${JPEG_LIBRARIES}, ${TIFF_LIBRARIES}, ${PNG_LIBRARIES}, ${OPENJPEG_LIBRARIES}, WebP::webp, WebP::webpdemux, WebP::libwebpmux, WebP::webpdecoder, ${JXR_LIBRARIES}, ${LibRaw_LIBRARIES}, OpenEXR::OpenEXR, Imath::Imath"
.\vcpkg\ports\freeimage\CMakeLists.txt,FreeImagePlus,FreeImage
.\vcpkg\ports\gamma\CMakeLists.txt,gamma,"SndFile::sndfile, ${PORTAUDIO_LIB}"
.\vcpkg\ports\genann\CMakeLists.txt,genann,
.\vcpkg\ports\geotrans\CMakeLists.txt,MSPdtcc,"Threads::Threads, ${CMAKE_DL_LIBS}"
.\vcpkg\ports\geotrans\CMakeLists.txt,MSPCoordinateConversionService,
.\vcpkg\ports\gettimeofday\CMakeLists.txt,gettimeofday,
.\vcpkg\ports\giflib\CMakeLists.txt,gif,
.\vcpkg\ports\gl3w\CMakeLists.txt,gl3w,${OPENGL_LIBRARIES}
.\vcpkg\ports\gppanel\CMakeLists.txt,gpPanel,${wxWidgets_LIBRARIES}
.\vcpkg\ports\gsl\CMakeLists.txt,gslcblas,
.\vcpkg\ports\gsl\CMakeLists.txt,gsl,gslcblas
.\vcpkg\ports\gts\CMakeLists.txt,gts,PkgConfig::GLIB2
.\vcpkg\ports\guetzli\CMakeLists.txt,guetzli_lib,"${butteraugli_library}, ${PNG_LIBRARIES}"
.\vcpkg\ports\guetzli\CMakeLists.txt,guetzli,"guetzli_lib, ${butteraugli_library}, ${PNG_LIBRARIES}"
.\vcpkg\ports\gumbo\CMakeLists.txt,gumbo,
.\vcpkg\ports\h5py-lzf\CMakeLists.txt,h5py-lzf,"unofficial::liblzf::liblzf, $<IF:$<TARGET_EXISTS:hdf5::hdf5-shared>,hdf5::hdf5-shared,hdf5::hdf5-static>"
.\vcpkg\ports\hash-library\CMakeLists.txt,hash-library,
.\vcpkg\ports\hffix\CMakeLists.txt,hffix,
.\vcpkg\ports\http-parser\CMakeLists.txt,http_parser,
.\vcpkg\ports\hungarian\CMakeLists.txt,hungarian,
.\vcpkg\ports\iausofa\CMakeLists.txt,iausofa,m
.\vcpkg\ports\ideviceinstaller\CMakeLists.txt,ideviceinstaller,"unofficial::libimobiledevice::libimobiledevice, libzip::zip, unofficial::getopt-win32::getopt"
.\vcpkg\ports\idevicerestore\CMakeLists.txt,idevicerestore,"CURL::libcurl, unofficial::libimobiledevice::libimobiledevice, unofficial::libimobiledevice-glue::libimobiledevice-glue, unofficial::libirecovery::libirecovery, libzip::zip, OpenSSL::SSL, OpenSSL::Crypto, ZLIB::ZLIB, unofficial::getopt-win32::getopt"
.\vcpkg\ports\im3d\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\imgui\CMakeLists.txt,${PROJECT_NAME},"Allegro::allegro, Allegro::allegro_ttf, Allegro::allegro_font, Allegro::allegro_main, glfw, GLUT::GLUT, SDL3::SDL3, SDL3::SDL3, SDL3::SDL3, Vulkan::Vulkan, freetype, plutosvg::plutosvg"
.\vcpkg\ports\imgui\CMakeLists.txt,${PROJECT_NAME}::${PROJECT_NAME},
.\vcpkg\ports\imgui-node-editor\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\imguizmo\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\implot\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\implot\CMakeLists.txt,${PROJECT_NAME}::${PROJECT_NAME},
.\vcpkg\ports\implot3d\CMakeLists.txt,${PROJECT_NAME},imgui::imgui
.\vcpkg\ports\implot3d\CMakeLists.txt,${PROJECT_NAME}::${PROJECT_NAME},
.\vcpkg\ports\intelrdfpmathlib\CMakeLists.txt,intel_decimal128,
.\vcpkg\ports\irrlicht\CMakeLists.txt,Irrlicht,"${OSX_LIBRARIES}, ${PNG_LIBRARY}, ${JPEG_LIBRARY}, ${ZLIB_LIBRARY}, ${BZIP2_LIBRARY}, ${ADDITIONAL_LIRARIES}, ${DX_LIBS}/d3dx9.lib, ${DX_LIBS}/dinput8.lib, ${DX_LIBS}/dxguid.lib, X11, GL, Xxf86vm"
.\vcpkg\ports\irrlicht\CMakeLists.txt,Irrlicht,"${OSX_LIBRARIES}, ${PNG_LIBRARY}, ${JPEG_LIBRARY}, ${ZLIB_LIBRARY}, ${BZIP2_LIBRARY}, ${ADDITIONAL_LIRARIES}, ${DX_LIBS}/d3dx9.lib, ${DX_LIBS}/dinput8.lib, ${DX_LIBS}/dxguid.lib, X11, GL, Xxf86vm"
.\vcpkg\ports\irrlicht\CMakeLists.txt,FileToHeader,
.\vcpkg\ports\irrlicht\CMakeLists.txt,GUIEditor,Irrlicht
.\vcpkg\ports\irrlicht\CMakeLists.txt,FontTool,Irrlicht
