CMake File,Target,Dependencies
.\vcpkg\ports\plustache\CMakeLists.txt,plustache,${Boost_LIBRARIES}
.\vcpkg\ports\poissonrecon\CMakeLists.txt,PoissonRecon,"PNG::PNG, JPEG::JPEG"
.\vcpkg\ports\portable-snippets\CMakeLists.txt,${module},
.\vcpkg\ports\portable-snippets\CMakeLists.txt,${module},
.\vcpkg\ports\portable-snippets\CMakeLists.txt,${namespace}::${module},
.\vcpkg\ports\pqp\CMakeLists.txt,pqp,
.\vcpkg\ports\presentmon\CMakeLists.txt,PresentData,
.\vcpkg\ports\presentmon\CMakeLists.txt,PresentMon,"PresentData, Tdh, Shlwapi"
.\vcpkg\ports\pystring\CMakeLists.txt,pystring,
.\vcpkg\ports\quirc\CMakeLists.txt,quirc,
.\vcpkg\ports\ragel\CMakeLists.txt,ragel,
.\vcpkg\ports\rappture\CMakeLists.txt,rappture,"expat::expat, ZLIB::ZLIB"
.\vcpkg\ports\rewolf-wow64ext\CMakeLists.txt,wow64ext,
.\vcpkg\ports\rhash\CMakeLists.txt,rhash,
.\vcpkg\ports\rply\CMakeLists.txt,${target_name},
.\vcpkg\ports\ryu\CMakeLists.txt,ryu,
.\vcpkg\ports\ryu\CMakeLists.txt,ryu_printf,
.\vcpkg\ports\sajson\CMakeLists.txt,sajson,
.\vcpkg\ports\scylla-wrapper\CMakeLists.txt,scylla_wrapper,${DISTORM_LIBRARY}
.\vcpkg\ports\sdl1-net\CMakeLists.txt,SDL_net,"${SDL_LIBRARY}, ws2_32, iphlpapi"
.\vcpkg\ports\sdl2-gfx\CMakeLists.txt,${PROJECT_NAME},SDL2::SDL2
.\vcpkg\ports\sfsexp\CMakeLists.txt,sexp,
.\vcpkg\ports\skia\example\CMakeLists.txt,legacy,skia
.\vcpkg\ports\skia\example\CMakeLists.txt,main,"unofficial::skia::skia, unofficial::skia::modules::skshaper"
.\vcpkg\ports\skia\example\CMakeLists.txt,skcms,unofficial::skia::skia
.\vcpkg\ports\skia\example\CMakeLists.txt,skpathediting,unofficial::skia::skia
.\vcpkg\ports\smpeg2\CMakeLists.txt,smpeg2,"SDL2::SDL2, SDL2::SDL2-static"
.\vcpkg\ports\snap7\CMakeLists.txt,${PROJECT_NAME},"wsock32, ws2_32, winmm.lib"
.\vcpkg\ports\snap7\CMakeLists.txt,${PROJECT_NAME}::${PROJECT_NAME},
.\vcpkg\ports\soil2\CMakeLists.txt,soil2,${OPENGL_gl_LIBRARY}
.\vcpkg\ports\speexdsp\CMakeLists.txt,speexdsp,
.\vcpkg\ports\sproto\CMakeLists.txt,sproto,${LUA_LIBRARIES}
.\vcpkg\ports\sqlcipher\CMakeLists.txt,sqlcipher,"Threads::Threads, ${CMAKE_DL_LIBS}, m, OpenSSL::SSL, OpenSSL::Crypto"
.\vcpkg\ports\sqlcipher\CMakeLists.txt,sqlcipher-bin,sqlcipher
.\vcpkg\ports\sqlite3\CMakeLists.txt,sqlite3,"Threads::Threads, ${CMAKE_DL_LIBS}, m, ICU::uc, ICU::i18n"
.\vcpkg\ports\sqlite3\CMakeLists.txt,sqlite3-bin,"sqlite3, ZLIB::ZLIB, m"
.\vcpkg\ports\tgc\CMakeLists.txt,tgc,
.\vcpkg\ports\tinkerforge\CMakeLists.txt,${PROJECT_NAME},"Threads::Threads, Ws2_32, advapi32"
.\vcpkg\ports\tiny-aes-c\CMakeLists.txt,tiny-aes-c,
.\vcpkg\ports\tiny-bignum-c\CMakeLists.txt,tiny-bignum-c,
.\vcpkg\ports\tiny-regex-c\CMakeLists.txt,tiny-regex-c,
.\vcpkg\ports\tinycbor\CMakeLists.txt,tinycbor,
.\vcpkg\ports\tinyexpr\CMakeLists.txt,tinyexpr,m
.\vcpkg\ports\tinyexpr\CMakeLists.txt,tinyexpr,m
.\vcpkg\ports\tinyfiledialogs\CMakeLists.txt,tinyfiledialogs,
.\vcpkg\ports\tinythread\CMakeLists.txt,tinythread,
.\vcpkg\ports\tinyxml\CMakeLists.txt,unofficial-tinyxml,
.\vcpkg\ports\tre\CMakeLists.txt,tre,
.\vcpkg\ports\triangle\CMakeLists.txt,triangle,
.\vcpkg\ports\triangle\CMakeLists.txt,triangle_exe,
.\vcpkg\ports\udt\CMakeLists.txt,udt,ws2_32
.\vcpkg\ports\unicorn-lib\CMakeLists.txt,unicorn-lib,"PkgConfig::PCRE2, ZLIB::ZLIB, Iconv::Iconv"
.\vcpkg\ports\usbmuxd\CMakeLists.txt,usbmuxd,"unofficial::libimobiledevice::libimobiledevice, unofficial::libimobiledevice-glue::libimobiledevice-glue, PkgConfig::libusb, PThreads4W::PThreads4W, unofficial::getopt-win32::getopt"
.\vcpkg\ports\usockets\CMakeLists.txt,uSockets,"OpenSSL::SSL, OpenSSL::Crypto, $<IF:$<TARGET_EXISTS:libuv::uv_a>,libuv::uv_a,libuv::uv>, ws2_32"
.\vcpkg\ports\vamp-sdk\CMakeLists.txt,vamp-sdk,SndFile::sndfile
.\vcpkg\ports\vamp-sdk\CMakeLists.txt,vamp-hostsdk,SndFile::sndfile
.\vcpkg\ports\vectorclass\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\visit-struct\CMakeLists.txt,visit_struct,
.\vcpkg\ports\vlfeat\CMakeLists.txt,vl,OpenMP::OpenMP_C
.\vcpkg\ports\webui\CMakeLists.txt,webui,"OpenSSL::SSL, OpenSSL::Crypto"
.\vcpkg\ports\wepoll\CMakeLists.txt,wepoll,ws2_32
.\vcpkg\ports\whereami\CMakeLists.txt,whereami,
.\vcpkg\ports\whereami\CMakeLists.txt,whereami::whereami,
.\vcpkg\ports\winpty\CMakeLists.txt,winpty,
.\vcpkg\ports\winpty\CMakeLists.txt,winpty-agent,
.\vcpkg\ports\winpty\CMakeLists.txt,winpty-debugserver,
.\vcpkg\ports\wordnet\CMakeLists.txt,${target_name},
.\vcpkg\ports\wren\CMakeLists.txt,wren,m
.\vcpkg\ports\wxchartdir\CMakeLists.txt,wxchartdir,"${wxWidgets_LIBRARIES}, chartdir"
.\vcpkg\ports\wxwidgets\example\CMakeLists.txt,main,${wxWidgets_LIBRARIES}
.\vcpkg\ports\wxwidgets\example\CMakeLists.txt,main2,"wx::core, wx::base"
.\vcpkg\ports\x-plane\CMakeLists.txt,unofficial::x-plane::xplm,
.\vcpkg\ports\x-plane\CMakeLists.txt,unofficial::x-plane::xplm,
.\vcpkg\ports\x-plane\CMakeLists.txt,unofficial::x-plane::xpwidgets,
.\vcpkg\ports\x-plane\CMakeLists.txt,unofficial::x-plane::xpwidgets,
.\vcpkg\ports\x-plane\CMakeLists.txt,xplm_cpp,"unofficial::x-plane::xplm, unofficial::x-plane::xpwidgets"
.\vcpkg\ports\xmlsec\CMakeLists.txt,xmlsec1,"LibXml2::LibXml2, ${LTDL_LIBRARY}"
.\vcpkg\ports\xmlsec\CMakeLists.txt,xmlsec1-openssl,"xmlsec1, OpenSSL::Crypto"
.\vcpkg\ports\xmlsec\CMakeLists.txt,xmlsec,"crypt32.lib, xmlsec1-openssl, Threads::Threads"
.\vcpkg\ports\xqilla\CMakeLists.txt,xqilla,"debug, ""${XercesC_LIBRARY_DEBUG}"", optimized, ""${XercesC_LIBRARY_RELEASE}"""
.\vcpkg\ports\yara\CMakeLists.txt,libyara,${libyara_dependencies}
.\vcpkg\ports\yara\CMakeLists.txt,yara,"libyara, ${libyara_dependencies}"
.\vcpkg\ports\yara\CMakeLists.txt,yarac,"libyara, ${libyara_dependencies}"
.\vcpkg\scripts\test_ports\cmake-user\project\CMakeLists.txt,lib,
.\vcpkg\scripts\test_ports\cmake-user\project\CMakeLists.txt,exe,${libraries}
.\vcpkg\scripts\test_ports\rpath-macho-test-binaries\project\CMakeLists.txt,rpath-macho-backend-lib++,
.\vcpkg\scripts\test_ports\rpath-macho-test-binaries\project\CMakeLists.txt,rpath-macho-test-lib,rpath-macho-backend-lib++
.\vcpkg\scripts\test_ports\rpath-macho-test-binaries\project\CMakeLists.txt,rpath-macho-test-tool,rpath-macho-test-lib
.\vcpkg\scripts\test_ports\rpath-test-binaries\project\CMakeLists.txt,rpath-backend-lib,
.\vcpkg\scripts\test_ports\rpath-test-binaries\project\CMakeLists.txt,rpath-test-lib,rpath-backend-lib
.\vcpkg\scripts\test_ports\rpath-test-binaries\project\CMakeLists.txt,rpath-test-tool,rpath-test-lib
.\vcpkg\scripts\test_ports\try-compile\try\CMakeLists.txt,result,
.\vcpkg\scripts\test_ports\vcpkg-ci-angelscript\project\CMakeLists.txt,main,Angelscript::angelscript
.\vcpkg\scripts\test_ports\vcpkg-ci-ankurvdev-embedresource\project\CMakeLists.txt,sample_test_exe,
.\vcpkg\scripts\test_ports\vcpkg-ci-ankurvdev-embedresource\project\CMakeLists.txt,sample_test_shlib,
.\vcpkg\scripts\test_ports\vcpkg-ci-ankurvdev-embedresource\project\CMakeLists.txt,sample_test_lib,
.\vcpkg\scripts\test_ports\vcpkg-ci-asmjit\project\CMakeLists.txt,main,asmjit::asmjit
.\vcpkg\scripts\test_ports\vcpkg-ci-aurora-au\project\CMakeLists.txt,test_au_client,Au::au
.\vcpkg\scripts\test_ports\vcpkg-ci-bgfx\project\CMakeLists.txt,main,"bgfx::bgfx, #, auxiliary, targets, bgfx::bx, bgfx::bimg, bgfx::bimg_decode, bgfx::bimg_encode, nativewindow, OpenGL::EGL, OpenGL::GLES2"
.\vcpkg\scripts\test_ports\vcpkg-ci-blas\project\CMakeLists.txt,fortran-interface,BLAS::BLAS
.\vcpkg\scripts\test_ports\vcpkg-ci-blas\project\CMakeLists.txt,fortran-interface-pc,PkgConfig::BLAS_PC
.\vcpkg\scripts\test_ports\vcpkg-ci-box2d\project\CMakeLists.txt,main,box2d::box2d
.\vcpkg\scripts\test_ports\vcpkg-ci-bullet3\project\CMakeLists.txt,main,${BULLET_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-bullet3\project\CMakeLists.txt,main-pkgconfig,PkgConfig::bullet
.\vcpkg\scripts\test_ports\vcpkg-ci-capstone\project\CMakeLists.txt,main,capstone::capstone
.\vcpkg\scripts\test_ports\vcpkg-ci-crashpad\project\CMakeLists.txt,main,crashpad::crashpad
.\vcpkg\scripts\test_ports\vcpkg-ci-curl\project\CMakeLists.txt,main-targets,CURL::libcurl
.\vcpkg\scripts\test_ports\vcpkg-ci-curl\project\CMakeLists.txt,main-variables,${CURL_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-curl\project\CMakeLists.txt,main-pkgconfig,PkgConfig::libcurl_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-curl\project\CMakeLists.txt,main-curl-config,${curl-config-libs}
.\vcpkg\scripts\test_ports\vcpkg-ci-dartsim\project\CMakeLists.txt,target::dart,
.\vcpkg\scripts\test_ports\vcpkg-ci-dartsim\project\CMakeLists.txt,main-dart,target::dart
.\vcpkg\scripts\test_ports\vcpkg-ci-dartsim\project\CMakeLists.txt,main-all,${DART_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-dartsim\project\CMakeLists.txt,main-pkconfig,PkgConfig::dartsim_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-dawn\project\CMakeLists.txt,vcpkg_ci_dawn,"glfw, dawn::webgpu_dawn"
.\vcpkg\scripts\test_ports\vcpkg-ci-dawn\project\CMakeLists.txt,vcpkg_ci_dawn_pc,"glfw, PkgConfig::webgpu_dawn"
.\vcpkg\scripts\test_ports\vcpkg-ci-dbus-cxx\project\CMakeLists.txt,main,dbus-cxx::dbus-cxx
.\vcpkg\scripts\test_ports\vcpkg-ci-dcmtk\project\CMakeLists.txt,main,DCMTK::DCMTK
.\vcpkg\scripts\test_ports\vcpkg-ci-dcmtk\project\CMakeLists.txt,main-pkgconfig,PkgConfig::DCMTK
.\vcpkg\scripts\test_ports\vcpkg-ci-duckdb\project\CMakeLists.txt,main,imported::duckdb
.\vcpkg\scripts\test_ports\vcpkg-ci-duckdb\project\CMakeLists.txt,imported::duckdb,
.\vcpkg\scripts\test_ports\vcpkg-ci-duckdb\project\CMakeLists.txt,imported::duckdb,
.\vcpkg\scripts\test_ports\vcpkg-ci-exiv2\project\CMakeLists.txt,main,Exiv2::exiv2lib
.\vcpkg\scripts\test_ports\vcpkg-ci-exiv2\project\CMakeLists.txt,main-pkgconfig,PkgConfig::exiv2
.\vcpkg\scripts\test_ports\vcpkg-ci-ffmpeg\project\CMakeLists.txt,main,${FFMPEG_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-ffmpeg\project\CMakeLists.txt,shared,${FFMPEG_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-ffmpeg\project\CMakeLists.txt,main-pkconfig,PkgConfig::ffmpeg_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-fluidsynth\project\CMakeLists.txt,main,FluidSynth::libfluidsynth
.\vcpkg\scripts\test_ports\vcpkg-ci-fluidsynth\project\CMakeLists.txt,main-pkconfig,PkgConfig::fluidsynth_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-gmime\project\CMakeLists.txt,main,PkgConfig::gmime
.\vcpkg\scripts\test_ports\vcpkg-ci-gobject-introspection\project\CMakeLists.txt,main-pkgconfig,PkgConfig::gobject-introspection_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-graphicsmagick\project\CMakeLists.txt,main-pkgconfig,PkgConfig::graphicsmagick_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-graphicsmagick\project\CMakeLists.txt,main-gm-config,${gm-config-libs}
.\vcpkg\scripts\test_ports\vcpkg-ci-graphviz\project\CMakeLists.txt,simple-cmake,"graphviz::gvc, graphviz::cgraph"
.\vcpkg\scripts\test_ports\vcpkg-ci-graphviz\project\CMakeLists.txt,simple-pkgconfig,PkgConfig::PC_LIBGVC
.\vcpkg\scripts\test_ports\vcpkg-ci-graphviz\project\CMakeLists.txt,check-${id},${target}
.\vcpkg\scripts\test_ports\vcpkg-ci-gz-common\project\CMakeLists.txt,main,gz-common6::gz-common6-av
.\vcpkg\scripts\test_ports\vcpkg-ci-gz-common\project\CMakeLists.txt,main-pkconfig,PkgConfig::gz-common_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-hello-imgui\project\CMakeLists.txt,main,hello-imgui::hello_imgui
.\vcpkg\scripts\test_ports\vcpkg-ci-icu\project\CMakeLists.txt,main,ICU::i18n
.\vcpkg\scripts\test_ports\vcpkg-ci-icu\project\CMakeLists.txt,main-pkconfig,PkgConfig::icu_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-itk\project\CMakeLists.txt,main,$<TARGET_NAME:ITKFFT>
.\vcpkg\scripts\test_ports\vcpkg-ci-kubernetes\project\CMakeLists.txt,main,kubernetes::kubernetes
.\vcpkg\scripts\test_ports\vcpkg-ci-libaec\project\CMakeLists.txt,main,libaec::aec
.\vcpkg\scripts\test_ports\vcpkg-ci-libavif\project\CMakeLists.txt,main,$<TARGET_NAME:avif>
.\vcpkg\scripts\test_ports\vcpkg-ci-libavif\project\CMakeLists.txt,main-pkconfig,PkgConfig::libavif_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-libe57\project\CMakeLists.txt,main,${E57RefImpl_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-libftdi1\project\CMakeLists.txt,main,PkgConfig::libftdipp1
.\vcpkg\scripts\test_ports\vcpkg-ci-libftdi1\project\cmake-usage\CMakeLists.txt,cmake-usage,${LIBFTDIPP_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-libgwenhywfar\project\CMakeLists.txt,libgwenhywfar_pkgconfig,PkgConfig::gwenhywfar
.\vcpkg\scripts\test_ports\vcpkg-ci-libharu\project\CMakeLists.txt,main,unofficial::libharu::hpdf
.\vcpkg\scripts\test_ports\vcpkg-ci-libhat\project\CMakeLists.txt,main,libhat::libhat
.\vcpkg\scripts\test_ports\vcpkg-ci-libheif\project\CMakeLists.txt,main,imported::heif
.\vcpkg\scripts\test_ports\vcpkg-ci-libheif\project\CMakeLists.txt,imported::heif,
.\vcpkg\scripts\test_ports\vcpkg-ci-libheif\project\CMakeLists.txt,main-pkconfig,PkgConfig::libheif_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,101_FileIO,igl::igl_core
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,609_Boolean,"igl::igl_glfw, igl_copyleft::igl_copyleft_cgal"
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,706_FacetOrientation,"igl::igl_glfw, igl::igl_embree"
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,102_DrawMesh,igl::igl_glfw
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,111_MatCap,"igl::igl_glfw, igl::igl_stb"
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,109_ImGuizmo,igl::igl_imgui
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,113_Shadows,"igl::igl_imgui, igl::igl_stb"
.\vcpkg\scripts\test_ports\vcpkg-ci-libigl\project\CMakeLists.txt,601_Serialization,igl::igl_xml
.\vcpkg\scripts\test_ports\vcpkg-ci-libmem\project\CMakeLists.txt,main,libmem::libmem
.\vcpkg\scripts\test_ports\vcpkg-ci-libmodbus\project\CMakeLists.txt,imported::modbus,
.\vcpkg\scripts\test_ports\vcpkg-ci-libmodbus\project\CMakeLists.txt,main,imported::modbus
.\vcpkg\scripts\test_ports\vcpkg-ci-libmodbus\project\CMakeLists.txt,main-pkconfig,PkgConfig::libmodbus_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-libmupdf\project\CMakeLists.txt,example,unofficial::libmupdf::libmupdf
.\vcpkg\scripts\test_ports\vcpkg-ci-libpqxx\project\CMakeLists.txt,main,libpqxx::pqxx
.\vcpkg\scripts\test_ports\vcpkg-ci-libpqxx\project\CMakeLists.txt,main-pkgconfig,PkgConfig::libpqxx
.\vcpkg\scripts\test_ports\vcpkg-ci-libremidi\project\CMakeLists.txt,imported::libremidi,
.\vcpkg\scripts\test_ports\vcpkg-ci-libremidi\project\CMakeLists.txt,main,imported::libremidi
.\vcpkg\scripts\test_ports\vcpkg-ci-libressl\project\CMakeLists.txt,openssl_cmake,OpenSSL::SSL
.\vcpkg\scripts\test_ports\vcpkg-ci-libressl\project\CMakeLists.txt,openssl_pkgconfig,PkgConfig::openssl
.\vcpkg\scripts\test_ports\vcpkg-ci-libressl\project\CMakeLists.txt,libressl_cmake,LibreSSL::TLS
.\vcpkg\scripts\test_ports\vcpkg-ci-libressl\project\CMakeLists.txt,libressl_pkgconfig,PkgConfig::libtls
.\vcpkg\scripts\test_ports\vcpkg-ci-libsrtp\project\CMakeLists.txt,main,libSRTP::srtp2
.\vcpkg\scripts\test_ports\vcpkg-ci-libsrtp\project\CMakeLists.txt,main-pkconfig,PkgConfig::libsrtp_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-lief\project\CMakeLists.txt,main,LIEF::LIEF
.\vcpkg\scripts\test_ports\vcpkg-ci-llama-cpp\project\CMakeLists.txt,test-cmake,"imported::llama, Vulkan::Vulkan"
.\vcpkg\scripts\test_ports\vcpkg-ci-llama-cpp\project\CMakeLists.txt,imported::llama,
.\vcpkg\scripts\test_ports\vcpkg-ci-llama-cpp\project\CMakeLists.txt,test-pkconfig,"PkgConfig::llama-cpp, Vulkan::Vulkan"
.\vcpkg\scripts\test_ports\vcpkg-ci-lua\project\CMakeLists.txt,main,${LUA_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-lua\project\CMakeLists.txt,main-cpp,unofficial::lua::lua-cpp
.\vcpkg\scripts\test_ports\vcpkg-ci-luajit\project\CMakeLists.txt,main,PkgConfig::LUAJIT
.\vcpkg\scripts\test_ports\vcpkg-ci-mapbox-variant\project\CMakeLists.txt,main,unofficial::mapbox-variant::variant
.\vcpkg\scripts\test_ports\vcpkg-ci-minc\project\CMakeLists.txt,main,${LIBMINC_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-mpg123\project\CMakeLists.txt,main,MPG123::libmpg123
.\vcpkg\scripts\test_ports\vcpkg-ci-mpg123\project\CMakeLists.txt,main-pc,PkgConfig::MPG123_PC
.\vcpkg\scripts\test_ports\vcpkg-ci-msh3\project\CMakeLists.txt,msh3_cmake,msh3
.\vcpkg\scripts\test_ports\vcpkg-ci-msh3\project\CMakeLists.txt,msh3_pkgconfig,PkgConfig::libmsh3
.\vcpkg\scripts\test_ports\vcpkg-ci-mysql-connector-cpp\project\CMakeLists.txt,unofficial-mysql-connector-cpp,unofficial::mysql-connector-cpp::connector
.\vcpkg\scripts\test_ports\vcpkg-ci-mysql-connector-cpp\project\CMakeLists.txt,mysql-concpp-xdevapi,"$<IF:$<TARGET_EXISTS:mysql::concpp-xdevapi>,mysql::concpp-xdevapi,mysql::concpp-xdevapi-static>"
.\vcpkg\scripts\test_ports\vcpkg-ci-mysql-connector-cpp\project\CMakeLists.txt,unofficial-mysql-connector-cpp-jdbc,unofficial::mysql-connector-cpp::connector-jdbc
.\vcpkg\scripts\test_ports\vcpkg-ci-mysql-connector-cpp\project\CMakeLists.txt,mysql-concpp-jdbc,"$<IF:$<TARGET_EXISTS:mysql::concpp-jdbc>,mysql::concpp-jdbc,mysql::concpp-jdbc-static>"
.\vcpkg\scripts\test_ports\vcpkg-ci-mzying2001-sw\project\CMakeLists.txt,main,sw::sw
.\vcpkg\scripts\test_ports\vcpkg-ci-nss\project\CMakeLists.txt,main-pkconfig,PkgConfig::nss_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-openblas\project\CMakeLists.txt,fortran-interface,OpenBLAS::OpenBLAS
.\vcpkg\scripts\test_ports\vcpkg-ci-openimageio\project\CMakeLists.txt,main,OpenImageIO::OpenImageIO
.\vcpkg\scripts\test_ports\vcpkg-ci-openvpn3\project\CMakeLists.txt,main,unofficial::openvpn3::ovpncli
.\vcpkg\scripts\test_ports\vcpkg-ci-orange-math\project\CMakeLists.txt,main,omath::omath
.\vcpkg\scripts\test_ports\vcpkg-ci-plplot\project\CMakeLists.txt,main,PLPLOT::plplot
.\vcpkg\scripts\test_ports\vcpkg-ci-plplot\project\CMakeLists.txt,main-pkconfig,PkgConfig::plplot_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-podofo\project\CMakeLists.txt,main,podofo::podofo
.\vcpkg\scripts\test_ports\vcpkg-ci-podofo\project\CMakeLists.txt,main-pkconfig,PkgConfig::podofo_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-pybind11\project\CMakeLists.txt,test-python,pybind11::headers
.\vcpkg\scripts\test_ports\vcpkg-ci-python3\project\CMakeLists.txt,main-python-target,"Python_MEOW::Python, Python::Python"
.\vcpkg\scripts\test_ports\vcpkg-ci-python3\project\CMakeLists.txt,main-python3-libraries,${Python3_LIBRARIES}
.\vcpkg\scripts\test_ports\vcpkg-ci-qtwebengine\project\CMakeLists.txt,main,"Qt6::Pdf, Qt6::WebEngineCore"
.\vcpkg\scripts\test_ports\vcpkg-ci-rest-rpc\project\CMakeLists.txt,main,unofficial::rest-rpc::rest-rpc
.\vcpkg\scripts\test_ports\vcpkg-ci-rewolf-wow64ext\project\CMakeLists.txt,main,unofficial::wow64ext::wow64ext
.\vcpkg\scripts\test_ports\vcpkg-ci-rtlsdr\project\CMakeLists.txt,rtlsdr_cmake,"$<IF:$<TARGET_EXISTS:rtlsdr::rtlsdr>,rtlsdr::rtlsdr,rtlsdr::rtlsdr_static>"
.\vcpkg\scripts\test_ports\vcpkg-ci-rtlsdr\project\CMakeLists.txt,rtlsdr_pkgconfig,PkgConfig::librtlsdr
.\vcpkg\scripts\test_ports\vcpkg-ci-ryu\CMakeLists.txt,test,"RYU::ryu, RYU::ryu_printf"
.\vcpkg\scripts\test_ports\vcpkg-ci-sdl3-image\project\CMakeLists.txt,main,"$<IF:$<TARGET_EXISTS:SDL3_image::SDL3_image-shared>,SDL3_image::SDL3_image-shared,SDL3_image::SDL3_image-static>"
.\vcpkg\scripts\test_ports\vcpkg-ci-sdl3-image\project\CMakeLists.txt,main-pkconfig,"PkgConfig::PC_SDL3_IMAGE, ${PC_SDL3_IMAGE_LDFLAGS}"
.\vcpkg\scripts\test_ports\vcpkg-ci-sdl3-ttf\project\CMakeLists.txt,main,SDL3_ttf::SDL3_ttf
.\vcpkg\scripts\test_ports\vcpkg-ci-sdl3-ttf\project\CMakeLists.txt,main-pkconfig,PkgConfig::PC_SDL3_TTF
.\vcpkg\scripts\test_ports\vcpkg-ci-soci\project\CMakeLists.txt,main,"$<IF:$<TARGET_EXISTS:SOCI::soci_mysql>,SOCI::soci_mysql,SOCI::soci_mysql_static>, $<IF:$<TARGET_EXISTS:SOCI::soci_postgresql>,SOCI::soci_postgresql,SOCI::soci_postgresql_static>, $<IF:$<TARGET_EXISTS:SOCI::soci_sqlite3>,SOCI::soci_sqlite3,SOCI::soci_sqlite3_static>"
.\vcpkg\scripts\test_ports\vcpkg-ci-sol2\project\CMakeLists.txt,main-cmake,sol2::sol2
.\vcpkg\scripts\test_ports\vcpkg-ci-sol2\project\CMakeLists.txt,main-pkgconfig,"${PC_SOL2_LUA_LIBRARIES}, ${LUA_LIBRARIES}"
.\vcpkg\scripts\test_ports\vcpkg-ci-subversion\project\CMakeLists.txt,main,"unofficial::subversion::svn_client, unofficial::subversion::svn_delta, unofficial::subversion::svn_diff, unofficial::subversion::svn_fs, unofficial::subversion::svn_fs_fs, unofficial::subversion::svn_fs_util, unofficial::subversion::svn_fs_x, unofficial::subversion::svn_ra, unofficial::subversion::svn_ra_local, unofficial::subversion::svn_ra_serf, unofficial::subversion::svn_ra_svn, unofficial::subversion::svn_repos, unofficial::subversion::svn_subr, unofficial::subversion::svn_wc"
.\vcpkg\scripts\test_ports\vcpkg-ci-tdlib\project\CMakeLists.txt,main,Td::TdStatic
.\vcpkg\scripts\test_ports\vcpkg-ci-tdlib\project\CMakeLists.txt,main2,PkgConfig::tdclient
.\vcpkg\scripts\test_ports\vcpkg-ci-tgbot-cpp\project\CMakeLists.txt,main,TgBot::TgBot
.\vcpkg\scripts\test_ports\vcpkg-ci-tomlplusplus\project\CMakeLists.txt,main,tomlplusplus::tomlplusplus
.\vcpkg\scripts\test_ports\vcpkg-ci-tomlplusplus\project\CMakeLists.txt,main-pkconfig,PkgConfig::tomlplusplus_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-tree-sitter\project\CMakeLists.txt,main-pkconfig,"PkgConfig::tree-sitter_pc, PkgConfig::tree-sitter-c_pc"
.\vcpkg\scripts\test_ports\vcpkg-ci-unarr\project\CMakeLists.txt,main,unarr::unarr
.\vcpkg\scripts\test_ports\vcpkg-ci-unarr\project\CMakeLists.txt,main2,PkgConfig::libunarr
.\vcpkg\scripts\test_ports\vcpkg-ci-unicorn\project\CMakeLists.txt,main,PkgConfig::unicorn
.\vcpkg\scripts\test_ports\vcpkg-ci-unixodbc\project\CMakeLists.txt,main,UNIX::odbc
.\vcpkg\scripts\test_ports\vcpkg-ci-unixodbc\project\CMakeLists.txt,main-pkconfig,PkgConfig::unixodbc_pc
.\vcpkg\scripts\test_ports\vcpkg-ci-uwebsockets\project\CMakeLists.txt,main,$<TARGET_NAME:unofficial::uwebsockets::uwebsockets>
.\vcpkg\scripts\test_ports\vcpkg-ci-vsgqt\project\CMakeLists.txt,vsgqtviewer,"vsgQt::vsgQt, vsgXchange::vsgXchange"
